[RTREE] This is node 50 at depth: 2, the bounding box is (-37.8428,-31.6703), (37.4819,97.0186), leaf: 0, edge: 1
[RTREE] This is node 86 at depth: 2, the bounding box is (-44.2435,-25.423), (79.2548,81.3349), leaf: 0, edge: 1
[RTREE] This is node 96 at depth: 2, the bounding box is (-91.1192,-52.81), (24.8488,11.5781), leaf: 0, edge: 1
[RTREE] This is node 98 at depth: 2, the bounding box is (8.9186,-43.8665), (89.531,86.641), leaf: 0, edge: 1
[RTREE] This is node 99 at depth: 2, the bounding box is (-40.3748,83.357), (10.0585,93.2535), leaf: 0, edge: 1
[RTREE] This is node 53 at depth: 1, the bounding box is (-94.025,-60.215), (89.8343,96.8606), leaf: 1, edge: 0
[RTREE] This is node 45 at depth: 2, the bounding box is (43.2141,-37.6277), (92.5543,-1.79454), leaf: 0, edge: 1
[RTREE] This is node 48 at depth: 2, the bounding box is (0.737407,-81.8046), (74.9942,38.4724), leaf: 0, edge: 1
[RTREE] This is node 34 at depth: 2, the bounding box is (10.2059,-1.13236), (72.1011,46.6667), leaf: 0, edge: 1
[RTREE] This is node 47 at depth: 2, the bounding box is (-93.1149,-23.8178), (61.421,16.6549), leaf: 0, edge: 1
[RTREE] This is node 106 at depth: 2, the bounding box is (-4.96554,-94.9071), (91.6428,18.4499), leaf: 0, edge: 1
[RTREE] This is node 107 at depth: 2, the bounding box is (1.80687,-48.732), (98.3464,32.69), leaf: 0, edge: 1
[RTREE] This is node 108 at depth: 2, the bounding box is (-81.0238,-63.5523), (48.3034,0.925504), leaf: 0, edge: 1
[RTREE] This is node 70 at depth: 1, the bounding box is (-93.1149,-94.9071), (98.3464,46.6667), leaf: 1, edge: 0
[RTREE] This is node 11 at depth: 2, the bounding box is (-4.79019,-74.4143), (5.0279,38.5765), leaf: 0, edge: 1
[RTREE] This is node 14 at depth: 2, the bounding box is (-11.8179,-55.1126), (2.26961,22.0489), leaf: 0, edge: 1
[RTREE] This is node 24 at depth: 2, the bounding box is (-12.6224,-70.9464), (14.0432,30.0532), leaf: 0, edge: 1
[RTREE] This is node 27 at depth: 2, the bounding box is (12.1389,-64.9055), (21.594,10.3005), leaf: 0, edge: 1
[RTREE] This is node 73 at depth: 1, the bounding box is (-12.6224,-74.4143), (21.594,38.5765), leaf: 1, edge: 0
[RTREE] This is node 62 at depth: 2, the bounding box is (-89.394,51.4988), (79.8216,73.6999), leaf: 0, edge: 1
[RTREE] This is node 38 at depth: 2, the bounding box is (-30.182,-19.7696), (76.4285,74.8296), leaf: 0, edge: 1
[RTREE] This is node 46 at depth: 2, the bounding box is (-26.9649,19.6426), (42.6027,36.6892), leaf: 0, edge: 1
[RTREE] This is node 69 at depth: 2, the bounding box is (-68.0877,-29.725), (51.1384,61.7444), leaf: 0, edge: 1
[RTREE] This is node 78 at depth: 2, the bounding box is (-97.9199,-71.8797), (77.9335,53.2185), leaf: 0, edge: 1
[RTREE] This is node 102 at depth: 2, the bounding box is (-95.9408,-28.5324), (-15.0003,68.3183), leaf: 0, edge: 1
[RTREE] This is node 111 at depth: 2, the bounding box is (-99.7529,23.8703), (28.2046,63.8927), leaf: 0, edge: 1
[RTREE] This is node 80 at depth: 1, the bounding box is (-99.7529,-71.8797), (79.8216,74.8296), leaf: 1, edge: 0
[RTREE] This is node 20 at depth: 2, the bounding box is (-87.3105,-77.4801), (27.3101,4.36008), leaf: 0, edge: 1
[RTREE] This is node 54 at depth: 2, the bounding box is (-92.1857,-78.7498), (5.85149,78.8866), leaf: 0, edge: 1
[RTREE] This is node 49 at depth: 2, the bounding box is (-68.1227,-73.8365), (67.7871,-2.46842), leaf: 0, edge: 1
[RTREE] This is node 63 at depth: 2, the bounding box is (-46.1874,-4.60265), (24.1169,50.7161), leaf: 0, edge: 1
[RTREE] This is node 64 at depth: 2, the bounding box is (-82.1417,-27.2187), (-21.9473,58.5146), leaf: 0, edge: 1
[RTREE] This is node 71 at depth: 2, the bounding box is (-56.0251,-88.2662), (13.2431,68.0918), leaf: 0, edge: 1
[RTREE] This is node 77 at depth: 2, the bounding box is (-88.9376,-59.7026), (23.7308,46.9562), leaf: 0, edge: 1
[RTREE] This is node 81 at depth: 2, the bounding box is (-78.4205,-71.794), (10.4621,28.7107), leaf: 0, edge: 1
[RTREE] This is node 101 at depth: 2, the bounding box is (-82.5286,-97.6334), (-11.9901,78.7576), leaf: 0, edge: 1
[RTREE] This is node 103 at depth: 2, the bounding box is (-94.2286,-85.3478), (11.8321,-23.5668), leaf: 0, edge: 1
[RTREE] This is node 88 at depth: 1, the bounding box is (-94.2286,-97.6334), (67.7871,78.8866), leaf: 1, edge: 0
[RTREE] This is node 1 at depth: 2, the bounding box is (-97.7705,-86.1688), (92.0032,-85.5916), leaf: 0, edge: 1
[RTREE] This is node 3 at depth: 2, the bounding box is (-81.3252,-51.6747), (-20.8179,-41.8271), leaf: 0, edge: 1
[RTREE] This is node 40 at depth: 2, the bounding box is (-88.6898,-75.4447), (55.2339,-41.6607), leaf: 0, edge: 1
[RTREE] This is node 42 at depth: 2, the bounding box is (-63.5476,-64.0063), (29.7445,-60.0496), leaf: 0, edge: 1
[RTREE] This is node 82 at depth: 2, the bounding box is (-46.2999,-70.73), (95.2618,-64.9011), leaf: 0, edge: 1
[RTREE] This is node 94 at depth: 1, the bounding box is (-97.7705,-86.1688), (95.2618,-41.6607), leaf: 1, edge: 0
[RTREE] This is node 19 at depth: 0, the bounding box is (-99.7529,-99.065), (99.5108,97.1672), leaf: 0, edge: 0
