[RTREE] This is node 18 at depth: 4, the bounding box is (-318.527,-890.723), (251.734,64.8025), leaf: 0, edge: 1
[RTREE] This is node 10 at depth: 4, the bounding box is (-805.729,-996.525), (502.638,-499.046), leaf: 0, edge: 1
[RTREE] This is node 6 at depth: 4, the bounding box is (-69.5014,-612.685), (-11,-514.127), leaf: 0, edge: 1
[RTREE] This is node 23 at depth: 4, the bounding box is (-791.83,-435.717), (858.031,-333.049), leaf: 0, edge: 1
[RTREE] This is node 36 at depth: 4, the bounding box is (-944.181,-595.842), (740.869,-229.619), leaf: 0, edge: 1
[RTREE] This is node 14 at depth: 3, the bounding box is (-944.181,-996.525), (858.031,-229.619), leaf: 1, edge: 0
[RTREE] This is node 46 at depth: 2, the bounding box is (-944.181,-996.525), (933.92,80.8932), leaf: 0, edge: 0
[RTREE] This is node 37 at depth: 4, the bounding box is (-833.453,764.653), (175.442,937.481), leaf: 0, edge: 1
[RTREE] This is node 45 at depth: 3, the bounding box is (-833.453,764.653), (175.442,937.481), leaf: 1, edge: 0
[RTREE] This is node 59 at depth: 2, the bounding box is (-833.453,764.653), (175.442,937.481), leaf: 0, edge: 0
[RTREE] This is node 28 at depth: 1, the bounding box is (-944.181,-996.525), (983.671,987.146), leaf: 0, edge: 0
[RTREE] This is node 5 at depth: 4, the bounding box is (-486.528,-884.006), (-306.569,925.2), leaf: 0, edge: 1
[RTREE] This is node 15 at depth: 4, the bounding box is (-436.886,-952.39), (-293.748,632.33), leaf: 0, edge: 1
[RTREE] This is node 21 at depth: 3, the bounding box is (-486.528,-952.39), (-293.748,925.2), leaf: 1, edge: 0
[RTREE] This is node 50 at depth: 2, the bounding box is (-486.528,-952.39), (-293.748,925.2), leaf: 0, edge: 0
[RTREE] This is node 60 at depth: 1, the bounding box is (-486.528,-952.39), (-293.748,925.2), leaf: 0, edge: 0
[RTREE] This is node 61 at depth: 0, the bounding box is (-944.181,-996.525), (983.671,987.146), leaf: 0, edge: 0
