[RTREE] This is node 1008 at depth: 4, the bounding box is (894.804,209.953), (973.64,856.398), leaf: 0, edge: 1
[RTREE] This is node 732 at depth: 4, the bounding box is (-144.518,-998.713), (97.334,-376.178), leaf: 0, edge: 1
[RTREE] This is node 387 at depth: 3, the bounding box is (-262.369,-998.713), (865.708,887.02), leaf: 1, edge: 0
[RTREE] This is node 1167 at depth: 4, the bounding box is (-948.353,707.365), (-158.946,999.354), leaf: 0, edge: 1
[RTREE] This is node 166 at depth: 4, the bounding box is (-363.768,299.345), (357.953,555.295), leaf: 0, edge: 1
[RTREE] This is node 290 at depth: 4, the bounding box is (-582.578,515.103), (699.688,911.114), leaf: 0, edge: 1
[RTREE] This is node 333 at depth: 4, the bounding box is (-953.834,242.6), (393.696,991.429), leaf: 0, edge: 1
[RTREE] This is node 468 at depth: 4, the bounding box is (67.3018,365.772), (99.2407,979.682), leaf: 0, edge: 1
[RTREE] This is node 647 at depth: 4, the bounding box is (-173.839,265.639), (-89.7737,984.55), leaf: 0, edge: 1
[RTREE] This is node 892 at depth: 4, the bounding box is (52.9609,603.777), (974.754,993.656), leaf: 0, edge: 1
[RTREE] This is node 1046 at depth: 4, the bounding box is (-568.48,219.847), (-248.732,988.641), leaf: 0, edge: 1
[RTREE] This is node 1177 at depth: 4, the bounding box is (-524.464,807.873), (756.226,987.314), leaf: 0, edge: 1
[RTREE] This is node 423 at depth: 3, the bounding box is (-953.834,219.847), (974.754,999.354), leaf: 1, edge: 0
[RTREE] This is node 913 at depth: 4, the bounding box is (-944.991,-638.218), (643.055,982.845), leaf: 0, edge: 1
[RTREE] This is node 422 at depth: 4, the bounding box is (-747.518,852.907), (203.39,870.314), leaf: 0, edge: 1
[RTREE] This is node 164 at depth: 4, the bounding box is (-248.233,-48.5485), (98.8788,622.894), leaf: 0, edge: 1
[RTREE] This is node 332 at depth: 4, the bounding box is (-580.576,-310.17), (381.621,966.667), leaf: 0, edge: 1
[RTREE] This is node 357 at depth: 4, the bounding box is (-892.017,-618.623), (749.81,809.044), leaf: 0, edge: 1
[RTREE] This is node 366 at depth: 4, the bounding box is (-198.605,574.168), (401.656,966.22), leaf: 0, edge: 1
[RTREE] This is node 416 at depth: 4, the bounding box is (-632.17,-558.87), (711.93,866.263), leaf: 0, edge: 1
[RTREE] This is node 432 at depth: 4, the bounding box is (-961.101,-298.023), (972.548,399.719), leaf: 0, edge: 1
[RTREE] This is node 447 at depth: 4, the bounding box is (-732.324,-116.823), (976.337,913.24), leaf: 0, edge: 1
[RTREE] This is node 626 at depth: 4, the bounding box is (-273.41,-224.133), (829.809,921.286), leaf: 0, edge: 1
[RTREE] This is node 759 at depth: 4, the bounding box is (-963.64,-258.36), (903.284,917.375), leaf: 0, edge: 1
[RTREE] This is node 776 at depth: 4, the bounding box is (-786.11,-305.343), (737.78,982.972), leaf: 0, edge: 1
[RTREE] This is node 801 at depth: 4, the bounding box is (-848.679,-113.779), (915.099,900.462), leaf: 0, edge: 1
[RTREE] This is node 1034 at depth: 4, the bounding box is (610.26,-376.493), (963.749,949.803), leaf: 0, edge: 1
[RTREE] This is node 458 at depth: 3, the bounding box is (-963.64,-638.218), (976.337,982.972), leaf: 1, edge: 0
[RTREE] This is node 588 at depth: 4, the bounding box is (502.712,-738.782), (866.625,-421.429), leaf: 0, edge: 1
[RTREE] This is node 569 at depth: 4, the bounding box is (-799.659,-973.419), (926.151,-348.256), leaf: 0, edge: 1
[RTREE] This is node 419 at depth: 4, the bounding box is (-585.432,-717.727), (964.95,546.117), leaf: 0, edge: 1
[RTREE] This is node 556 at depth: 4, the bounding box is (432.667,-37.9666), (664.371,871.737), leaf: 0, edge: 1
[RTREE] This is node 590 at depth: 4, the bounding box is (-509.098,-283.227), (-109.474,-264.835), leaf: 0, edge: 1
[RTREE] This is node 593 at depth: 4, the bounding box is (-64.0981,-867.809), (-55.5132,-309.914), leaf: 0, edge: 1
[RTREE] This is node 594 at depth: 4, the bounding box is (-68.9414,-738.007), (66.0665,304.6), leaf: 0, edge: 1
[RTREE] This is node 621 at depth: 4, the bounding box is (318.737,-678.07), (979.966,37.1198), leaf: 0, edge: 1
[RTREE] This is node 596 at depth: 3, the bounding box is (-799.659,-973.419), (979.966,871.737), leaf: 1, edge: 0
[RTREE] This is node 595 at depth: 4, the bounding box is (-968.252,534.46), (-405.907,858.284), leaf: 0, edge: 1
[RTREE] This is node 605 at depth: 3, the bounding box is (-968.252,534.46), (-405.907,858.284), leaf: 1, edge: 0
[RTREE] This is node 541 at depth: 4, the bounding box is (-327.768,-505.267), (-195.217,934.244), leaf: 0, edge: 1
[RTREE] This is node 550 at depth: 4, the bounding box is (-310.832,-30.21), (111.879,855.714), leaf: 0, edge: 1
[RTREE] This is node 589 at depth: 4, the bounding box is (-125.595,255.055), (-78.039,598.881), leaf: 0, edge: 1
[RTREE] This is node 591 at depth: 4, the bounding box is (-160.169,-355.676), (-81.4633,301.956), leaf: 0, edge: 1
[RTREE] This is node 603 at depth: 4, the bounding box is (-428.78,-388.785), (-420.532,723.307), leaf: 0, edge: 1
[RTREE] This is node 609 at depth: 3, the bounding box is (-428.78,-505.267), (111.879,934.244), leaf: 1, edge: 0
[RTREE] This is node 418 at depth: 4, the bounding box is (-988.04,-78.0069), (-223.448,131.52), leaf: 0, edge: 1
[RTREE] This is node 403 at depth: 4, the bounding box is (-982.413,-81.7786), (341.088,975.888), leaf: 0, edge: 1
[RTREE] This is node 750 at depth: 4, the bounding box is (-985.909,-67.3115), (676.822,462.564), leaf: 0, edge: 1
[RTREE] This is node 1189 at depth: 4, the bounding box is (-801.406,67.1169), (-117.319,875.177), leaf: 0, edge: 1
[RTREE] This is node 1190 at depth: 3, the bounding box is (-988.04,-81.7786), (676.822,975.888), leaf: 1, edge: 0
[RTREE] This is node 178 at depth: 2, the bounding box is (-999.091,-998.713), (986.794,999.354), leaf: 0, edge: 0
[RTREE] This is node 1132 at depth: 4, the bounding box is (-643.968,382.857), (731.768,667.849), leaf: 0, edge: 1
[RTREE] This is node 1121 at depth: 4, the bounding box is (-381.756,473.011), (156.532,491.635), leaf: 0, edge: 1
[RTREE] This is node 1169 at depth: 3, the bounding box is (-643.968,382.857), (731.768,667.849), leaf: 1, edge: 0
[RTREE] This is node 203 at depth: 4, the bounding box is (-728.844,-541.604), (869.187,806.821), leaf: 0, edge: 1
[RTREE] This is node 1114 at depth: 4, the bounding box is (-683.521,-555.554), (472.238,757.107), leaf: 0, edge: 1
[RTREE] This is node 388 at depth: 4, the bounding box is (-576.09,316.017), (767.926,800.572), leaf: 0, edge: 1
[RTREE] This is node 284 at depth: 4, the bounding box is (-675.243,-413.063), (647.869,719.592), leaf: 0, edge: 1
[RTREE] This is node 360 at depth: 4, the bounding box is (-272.109,332.98), (-225.653,495.429), leaf: 0, edge: 1
[RTREE] This is node 377 at depth: 4, the bounding box is (-448.845,-133.164), (453.159,645.424), leaf: 0, edge: 1
[RTREE] This is node 390 at depth: 4, the bounding box is (54.4594,-215.967), (859.901,615.636), leaf: 0, edge: 1
[RTREE] This is node 399 at depth: 4, the bounding box is (-570.567,342.848), (482.947,798.508), leaf: 0, edge: 1
[RTREE] This is node 1107 at depth: 4, the bounding box is (-742.875,306.812), (133.123,744.856), leaf: 0, edge: 1
[RTREE] This is node 1134 at depth: 4, the bounding box is (300.156,287.179), (473.34,586.149), leaf: 0, edge: 1
[RTREE] This is node 1139 at depth: 4, the bounding box is (552.696,305.708), (579.219,492.331), leaf: 0, edge: 1
[RTREE] This is node 1142 at depth: 4, the bounding box is (132.082,-455.239), (700.166,173.506), leaf: 0, edge: 1
[RTREE] This is node 1146 at depth: 4, the bounding box is (0.183691,271.17), (403.502,401.145), leaf: 0, edge: 1
[RTREE] This is node 1147 at depth: 4, the bounding box is (155.16,10.0336), (430.815,490.393), leaf: 0, edge: 1
[RTREE] This is node 1168 at depth: 4, the bounding box is (-70.2165,-132.154), (398.043,796.576), leaf: 0, edge: 1
[RTREE] This is node 32 at depth: 3, the bounding box is (-742.875,-555.554), (869.187,806.821), leaf: 1, edge: 0
[RTREE] This is node 1151 at depth: 4, the bounding box is (49.2315,180.142), (898.836,311.502), leaf: 0, edge: 1
[RTREE] This is node 66 at depth: 4, the bounding box is (-752.334,-957.733), (905.775,667.337), leaf: 0, edge: 1
[RTREE] This is node 326 at depth: 4, the bounding box is (-51.16,-727.935), (619.734,487.155), leaf: 0, edge: 1
[RTREE] This is node 1135 at depth: 4, the bounding box is (-430.771,-727.674), (847.206,-114.186), leaf: 0, edge: 1
[RTREE] This is node 1136 at depth: 4, the bounding box is (-394.979,-675.645), (731.635,23.6292), leaf: 0, edge: 1
[RTREE] This is node 1152 at depth: 4, the bounding box is (158.258,-640.479), (743.74,61.7928), leaf: 0, edge: 1
[RTREE] This is node 1160 at depth: 4, the bounding box is (-601.467,-657.467), (645.618,423.698), leaf: 0, edge: 1
[RTREE] This is node 1162 at depth: 4, the bounding box is (76.3772,-952.136), (136.54,-119.719), leaf: 0, edge: 1
[RTREE] This is node 1171 at depth: 4, the bounding box is (210.379,-942.617), (220.274,-424.599), leaf: 0, edge: 1
[RTREE] This is node 1175 at depth: 4, the bounding box is (264.631,-640.666), (621.37,-92.033), leaf: 0, edge: 1
[RTREE] This is node 1176 at depth: 4, the bounding box is (-587.111,-838.108), (-184.533,-348.759), leaf: 0, edge: 1
[RTREE] This is node 207 at depth: 3, the bounding box is (-752.334,-957.733), (905.775,667.337), leaf: 1, edge: 0
[RTREE] This is node 1122 at depth: 4, the bounding box is (230.117,-909.517), (936.081,632.307), leaf: 0, edge: 1
[RTREE] This is node 76 at depth: 4, the bounding box is (-794.461,-881.251), (716.061,601.927), leaf: 0, edge: 1
[RTREE] This is node 87 at depth: 4, the bounding box is (-663.963,-874.883), (43.5221,547.499), leaf: 0, edge: 1
[RTREE] This is node 114 at depth: 4, the bounding box is (-794.453,-713.969), (31.1874,614.572), leaf: 0, edge: 1
[RTREE] This is node 125 at depth: 4, the bounding box is (-533.254,-779.141), (-102.78,269.483), leaf: 0, edge: 1
[RTREE] This is node 209 at depth: 4, the bounding box is (929.954,-646.803), (939.21,-475.934), leaf: 0, edge: 1
[RTREE] This is node 322 at depth: 4, the bounding box is (377.587,-829.009), (980.549,352.562), leaf: 0, edge: 1
[RTREE] This is node 473 at depth: 4, the bounding box is (416.714,-311.994), (999.368,-122.999), leaf: 0, edge: 1
[RTREE] This is node 689 at depth: 4, the bounding box is (-252.037,-395.53), (996.386,626.567), leaf: 0, edge: 1
[RTREE] This is node 1014 at depth: 4, the bounding box is (423.284,537.708), (996.24,659.888), leaf: 0, edge: 1
[RTREE] This is node 1117 at depth: 4, the bounding box is (-123.643,-553.827), (907.574,207.005), leaf: 0, edge: 1
[RTREE] This is node 1164 at depth: 4, the bounding box is (-592.615,-765.365), (942.074,796.819), leaf: 0, edge: 1
[RTREE] This is node 1173 at depth: 4, the bounding box is (-599.561,369.301), (953.619,536.98), leaf: 0, edge: 1
[RTREE] This is node 250 at depth: 3, the bounding box is (-794.461,-909.517), (999.368,796.819), leaf: 1, edge: 0
[RTREE] This is node 339 at depth: 4, the bounding box is (-818.08,-717.841), (696.73,78.3509), leaf: 0, edge: 1
[RTREE] This is node 47 at depth: 4, the bounding box is (-845.631,-749.78), (618.318,634.037), leaf: 0, edge: 1
[RTREE] This is node 225 at depth: 4, the bounding box is (-743.03,-679.829), (788.73,315.512), leaf: 0, edge: 1
[RTREE] This is node 188 at depth: 4, the bounding box is (-679.028,-509.976), (391.238,436.657), leaf: 0, edge: 1
[RTREE] This is node 196 at depth: 4, the bounding box is (-41.7792,-162.527), (446.235,-114.789), leaf: 0, edge: 1
[RTREE] This is node 215 at depth: 4, the bounding box is (-488.88,-305.297), (171.728,267.392), leaf: 0, edge: 1
[RTREE] This is node 240 at depth: 4, the bounding box is (-741.249,-217.58), (221.796,254.96), leaf: 0, edge: 1
[RTREE] This is node 254 at depth: 4, the bounding box is (-64.4684,-509.467), (600.741,157.084), leaf: 0, edge: 1
[RTREE] This is node 267 at depth: 4, the bounding box is (-657.349,-686.454), (249.717,314.715), leaf: 0, edge: 1
[RTREE] This is node 292 at depth: 4, the bounding box is (160.529,-302.616), (605.999,631.841), leaf: 0, edge: 1
[RTREE] This is node 384 at depth: 4, the bounding box is (-832.938,-1.12804), (639.049,92.207), leaf: 0, edge: 1
[RTREE] This is node 391 at depth: 4, the bounding box is (-826.703,-466.306), (17.4035,-414.751), leaf: 0, edge: 1
[RTREE] This is node 1141 at depth: 4, the bounding box is (-811.271,-682.691), (732.464,464.233), leaf: 0, edge: 1
[RTREE] This is node 135 at depth: 3, the bounding box is (-845.631,-749.78), (788.73,634.037), leaf: 1, edge: 0
[RTREE] This is node 3 at depth: 4, the bounding box is (-678.976,-42.773), (924.129,75.0704), leaf: 0, edge: 1
[RTREE] This is node 22 at depth: 4, the bounding box is (-491.611,-436.806), (829.404,244.273), leaf: 0, edge: 1
[RTREE] This is node 35 at depth: 4, the bounding box is (40.084,-112.151), (801.051,237.93), leaf: 0, edge: 1
[RTREE] This is node 36 at depth: 4, the bounding box is (274.727,111.196), (968.862,531.031), leaf: 0, edge: 1
[RTREE] This is node 39 at depth: 4, the bounding box is (-645.829,-351.714), (809.188,-333.141), leaf: 0, edge: 1
[RTREE] This is node 40 at depth: 4, the bounding box is (-984.281,-468.569), (820.828,366.891), leaf: 0, edge: 1
[RTREE] This is node 67 at depth: 4, the bounding box is (-404.709,-428.359), (776.097,-277.738), leaf: 0, edge: 1
[RTREE] This is node 121 at depth: 4, the bounding box is (-967.52,-313.556), (-346.91,310.793), leaf: 0, edge: 1
[RTREE] This is node 183 at depth: 4, the bounding box is (-987.176,-305.663), (-404.193,-69.0093), leaf: 0, edge: 1
[RTREE] This is node 217 at depth: 4, the bounding box is (-936.799,-413.898), (826.294,111.543), leaf: 0, edge: 1
[RTREE] This is node 256 at depth: 4, the bounding box is (-977.593,-413.231), (880.062,-186.15), leaf: 0, edge: 1
[RTREE] This is node 309 at depth: 4, the bounding box is (-911.771,-407.822), (-275.995,296.264), leaf: 0, edge: 1
[RTREE] This is node 378 at depth: 4, the bounding box is (-978.689,-463.11), (-421.614,49.7086), leaf: 0, edge: 1
[RTREE] This is node 686 at depth: 4, the bounding box is (-925.839,-533.903), (996.941,408.108), leaf: 0, edge: 1
[RTREE] This is node 1153 at depth: 4, the bounding box is (-888.519,-256.297), (389.434,408.701), leaf: 0, edge: 1
[RTREE] This is node 68 at depth: 3, the bounding box is (-987.176,-533.903), (996.941,531.031), leaf: 1, edge: 0
[RTREE] This is node 405 at depth: 4, the bounding box is (16.7786,75.2271), (239.381,466.71), leaf: 0, edge: 1
[RTREE] This is node 153 at depth: 4, the bounding box is (-958.563,-228.671), (762.964,566.484), leaf: 0, edge: 1
[RTREE] This is node 165 at depth: 4, the bounding box is (-943.012,-264.212), (728.622,584.992), leaf: 0, edge: 1
[RTREE] This is node 184 at depth: 4, the bounding box is (-480.812,-0.372084), (207.111,643.384), leaf: 0, edge: 1
[RTREE] This is node 956 at depth: 4, the bounding box is (-993.575,3.9684), (288.203,405.815), leaf: 0, edge: 1
[RTREE] This is node 1159 at depth: 4, the bounding box is (-973.208,-69.57), (947.706,690.678), leaf: 0, edge: 1
[RTREE] This is node 1103 at depth: 3, the bounding box is (-993.575,-264.212), (947.706,690.678), leaf: 1, edge: 0
[RTREE] This is node 1106 at depth: 4, the bounding box is (-748.883,251.78), (440.628,273.833), leaf: 0, edge: 1
[RTREE] This is node 1144 at depth: 4, the bounding box is (-749.557,29.9134), (318.052,49.6879), leaf: 0, edge: 1
[RTREE] This is node 1149 at depth: 3, the bounding box is (-749.557,29.9134), (440.628,273.833), leaf: 1, edge: 0
[RTREE] This is node 1118 at depth: 4, the bounding box is (-413.434,-602.357), (12.2053,506.072), leaf: 0, edge: 1
[RTREE] This is node 1163 at depth: 3, the bounding box is (-413.434,-602.357), (12.2053,506.072), leaf: 1, edge: 0
[RTREE] This is node 364 at depth: 4, the bounding box is (-598.708,-848.898), (-458.033,-328.784), leaf: 0, edge: 1
[RTREE] This is node 157 at depth: 4, the bounding box is (-800.315,-894.272), (636.909,105.537), leaf: 0, edge: 1
[RTREE] This is node 299 at depth: 4, the bounding box is (-798.343,-881.374), (209.099,484.358), leaf: 0, edge: 1
[RTREE] This is node 316 at depth: 4, the bounding box is (19.3897,-936.565), (463.782,-595.313), leaf: 0, edge: 1
[RTREE] This is node 323 at depth: 4, the bounding box is (-414.954,-920.501), (572.005,-296.134), leaf: 0, edge: 1
