[RTREE] This is node 43 at depth: 3, the bounding box is (-844.344,-900.399), (485.23,758.661), leaf: 0, edge: 1
[RTREE] This is node 33 at depth: 2, the bounding box is (-968.635,-912.483), (260.085,906.486), leaf: 1, edge: 0
[RTREE] This is node 9 at depth: 3, the bounding box is (-619.106,-952.311), (385.179,652.165), leaf: 0, edge: 1
[RTREE] This is node 24 at depth: 3, the bounding box is (-582.138,-945.307), (376.047,443.396), leaf: 0, edge: 1
[RTREE] This is node 35 at depth: 2, the bounding box is (-619.106,-952.311), (385.179,652.165), leaf: 1, edge: 0
[RTREE] This is node 28 at depth: 1, the bounding box is (-979.787,-978.654), (666.994,906.486), leaf: 0, edge: 0
[RTREE] This is node 52 at depth: 3, the bounding box is (803.548,-744.758), (817.369,959.204), leaf: 0, edge: 1
[RTREE] This is node 11 at depth: 3, the bounding box is (430.679,-687.903), (688.735,-124.387), leaf: 0, edge: 1
[RTREE] This is node 41 at depth: 3, the bounding box is (322.414,-438.265), (796.222,73.7985), leaf: 0, edge: 1
[RTREE] This is node 45 at depth: 3, the bounding box is (458.039,-563.975), (842.587,347.636), leaf: 0, edge: 1
[RTREE] This is node 37 at depth: 2, the bounding box is (322.414,-744.758), (842.587,959.204), leaf: 1, edge: 0
[RTREE] This is node 39 at depth: 3, the bounding box is (-53.8476,-878.797), (989.73,-798.027), leaf: 0, edge: 1
[RTREE] This is node 23 at depth: 3, the bounding box is (151.83,-920.694), (873.775,101.693), leaf: 0, edge: 1
[RTREE] This is node 53 at depth: 2, the bounding box is (-53.8476,-920.694), (989.73,101.693), leaf: 1, edge: 0
[RTREE] This is node 51 at depth: 1, the bounding box is (-53.8476,-920.694), (989.73,959.204), leaf: 0, edge: 0
[RTREE] This is node 1 at depth: 3, the bounding box is (-591.016,-206.126), (807.933,807.223), leaf: 0, edge: 1
[RTREE] This is node 3 at depth: 3, the bounding box is (158.943,129.48), (634.977,335.316), leaf: 0, edge: 1
[RTREE] This is node 22 at depth: 3, the bounding box is (817.546,28.1719), (986.282,353.834), leaf: 0, edge: 1
[RTREE] This is node 38 at depth: 3, the bounding box is (-22.0145,252.003), (975.654,366.273), leaf: 0, edge: 1
[RTREE] This is node 21 at depth: 2, the bounding box is (-591.016,-206.126), (986.282,807.223), leaf: 1, edge: 0
[RTREE] This is node 5 at depth: 3, the bounding box is (-795.387,-178.71), (-284.427,901.576), leaf: 0, edge: 1
[RTREE] This is node 4 at depth: 3, the bounding box is (-847.325,-62.2688), (411.08,792.995), leaf: 0, edge: 1
[RTREE] This is node 50 at depth: 2, the bounding box is (-847.325,-178.71), (411.08,901.576), leaf: 1, edge: 0
[RTREE] This is node 56 at depth: 1, the bounding box is (-847.325,-206.126), (986.282,901.576), leaf: 0, edge: 0
[RTREE] This is node 29 at depth: 0, the bounding box is (-979.787,-978.654), (989.73,959.204), leaf: 0, edge: 0
time spent ms: 44, the closest dist by violence: 19.5207, (x1,y1,x2,y2): (385.179,652.165,-619.106,-952.311)
Search for k nearest neighbor. 
dis = 19.5207
rtree ms: 98, bf: 1643867223178650, af:1643867223178748
the 1th nearest node to (0,0) (x1,y1,x2,y2): (-619.106,-952.311,385.179,652.165)
