[RTREE] This is node 63 at depth: 10, the bounding box is (-95.9953,31.3496), (-50.273,51.5309), leaf: 0, edge: 1
[RTREE] This is node 714 at depth: 10, the bounding box is (-79.4275,-83.7139), (-41.4432,-1.03713), leaf: 0, edge: 1
[RTREE] This is node 1895 at depth: 9, the bounding box is (-79.4275,-89.1261), (-41.4432,16.7821), leaf: 1, edge: 0
[RTREE] This is node 1896 at depth: 8, the bounding box is (-79.4275,-89.1261), (-25.8889,16.7821), leaf: 0, edge: 0
[RTREE] This is node 92 at depth: 7, the bounding box is (-95.9953,-95.1801), (33.2657,98.1167), leaf: 0, edge: 0
[RTREE] This is node 169 at depth: 6, the bounding box is (-95.9953,-95.1801), (33.2657,98.1167), leaf: 0, edge: 0
[RTREE] This is node 41 at depth: 10, the bounding box is (-40.8203,-97.7628), (-22.1022,87.388), leaf: 0, edge: 1
[RTREE] This is node 20 at depth: 10, the bounding box is (-24.348,25.5341), (-16.8981,42.8699), leaf: 0, edge: 1
[RTREE] This is node 191 at depth: 10, the bounding box is (-33.2466,41.1037), (-20.8877,72.3831), leaf: 0, edge: 1
[RTREE] This is node 196 at depth: 10, the bounding box is (-31.6137,-79.2903), (-19.5348,-17.438), leaf: 0, edge: 1
[RTREE] This is node 632 at depth: 10, the bounding box is (-19.3639,-72.7635), (-18.6895,-53.0956), leaf: 0, edge: 1
[RTREE] This is node 71 at depth: 9, the bounding box is (-40.8203,-97.7628), (-16.8981,87.388), leaf: 1, edge: 0
[RTREE] This is node 117 at depth: 8, the bounding box is (-40.8203,-97.7628), (-16.8981,87.388), leaf: 0, edge: 0
[RTREE] This is node 177 at depth: 7, the bounding box is (-40.8203,-97.7628), (-16.8981,87.388), leaf: 0, edge: 0
[RTREE] This is node 209 at depth: 6, the bounding box is (-40.8203,-97.7628), (-16.8981,87.388), leaf: 0, edge: 0
[RTREE] This is node 275 at depth: 5, the bounding box is (-95.9953,-97.7628), (33.2657,98.1167), leaf: 0, edge: 0
[RTREE] This is node 72 at depth: 10, the bounding box is (-83.6047,-89.477), (-25.3024,49.7341), leaf: 0, edge: 1
[RTREE] This is node 137 at depth: 10, the bounding box is (-80.9479,-98.97), (-55.723,-7.11403), leaf: 0, edge: 1
[RTREE] This is node 311 at depth: 10, the bounding box is (-74.0902,-92.2368), (-70.0178,0.521773), leaf: 0, edge: 1
[RTREE] This is node 328 at depth: 10, the bounding box is (-76.4947,-67.797), (-56.7574,38.8203), leaf: 0, edge: 1
[RTREE] This is node 386 at depth: 10, the bounding box is (-82.294,-70.9617), (-45.7572,26.818), leaf: 0, edge: 1
[RTREE] This is node 81 at depth: 9, the bounding box is (-83.6047,-98.97), (-25.3024,49.7341), leaf: 1, edge: 0
[RTREE] This is node 97 at depth: 10, the bounding box is (-88.1566,1.42368), (-53.2762,21.0006), leaf: 0, edge: 1
[RTREE] This is node 75 at depth: 10, the bounding box is (-98.6633,-73.352), (-73.642,32.527), leaf: 0, edge: 1
[RTREE] This is node 327 at depth: 10, the bounding box is (-94.5028,-64.5206), (-93.7067,22.9836), leaf: 0, edge: 1
[RTREE] This is node 731 at depth: 10, the bounding box is (-96.8495,-5.74873), (-56.379,45.0982), leaf: 0, edge: 1
[RTREE] This is node 312 at depth: 9, the bounding box is (-98.6633,-73.352), (-53.2762,45.0982), leaf: 1, edge: 0
[RTREE] This is node 213 at depth: 10, the bounding box is (-64.2352,-96.4686), (-52.8137,45.826), leaf: 0, edge: 1
[RTREE] This is node 387 at depth: 9, the bounding box is (-64.2352,-96.4686), (-52.8137,45.826), leaf: 1, edge: 0
[RTREE] This is node 148 at depth: 8, the bounding box is (-98.6633,-98.97), (-25.3024,49.7341), leaf: 0, edge: 0
[RTREE] This is node 203 at depth: 7, the bounding box is (-98.6633,-98.97), (-25.3024,49.7341), leaf: 0, edge: 0
[RTREE] This is node 340 at depth: 6, the bounding box is (-98.6633,-98.97), (-25.3024,49.7341), leaf: 0, edge: 0
[RTREE] This is node 421 at depth: 5, the bounding box is (-98.6633,-98.97), (-25.3024,49.7341), leaf: 0, edge: 0
[RTREE] This is node 438 at depth: 4, the bounding box is (-98.6633,-98.97), (33.2657,98.1167), leaf: 0, edge: 0
[RTREE] This is node 899 at depth: 3, the bounding box is (-98.6633,-98.97), (33.2657,98.1167), leaf: 0, edge: 0
[RTREE] This is node 181 at depth: 10, the bounding box is (-25.6497,-96.3871), (-8.7362,47.2302), leaf: 0, edge: 1
[RTREE] This is node 185 at depth: 9, the bounding box is (-25.6497,-96.3871), (-8.7362,47.2302), leaf: 1, edge: 0
[RTREE] This is node 207 at depth: 8, the bounding box is (-25.6497,-96.3871), (-8.7362,47.2302), leaf: 0, edge: 0
[RTREE] This is node 1416 at depth: 7, the bounding box is (-25.6497,-96.3871), (-8.7362,47.2302), leaf: 0, edge: 0
[RTREE] This is node 1573 at depth: 6, the bounding box is (-25.6497,-96.3871), (-8.7362,47.2302), leaf: 0, edge: 0
[RTREE] This is node 1661 at depth: 5, the bounding box is (-25.6497,-96.3871), (-8.7362,47.2302), leaf: 0, edge: 0
[RTREE] This is node 1149 at depth: 10, the bounding box is (-2.07276,-89.8463), (18.0754,66.0651), leaf: 0, edge: 1
[RTREE] This is node 394 at depth: 10, the bounding box is (-34.5238,-92.6332), (1.16508,69.9594), leaf: 0, edge: 1
[RTREE] This is node 1451 at depth: 10, the bounding box is (-31.2932,-86.4862), (14.6109,93.1101), leaf: 0, edge: 1
[RTREE] This is node 1569 at depth: 10, the bounding box is (-22.3562,86.3852), (-2.16301,93.7462), leaf: 0, edge: 1
[RTREE] This is node 42 at depth: 9, the bounding box is (-34.5238,-92.6332), (18.0754,93.7462), leaf: 1, edge: 0
[RTREE] This is node 903 at depth: 10, the bounding box is (-30.3595,29.4343), (-10.2356,97.4107), leaf: 0, edge: 1
[RTREE] This is node 1465 at depth: 10, the bounding box is (-32.1453,-27.0349), (12.0557,79.6725), leaf: 0, edge: 1
[RTREE] This is node 1570 at depth: 9, the bounding box is (-32.1453,-27.0349), (12.0557,97.4107), leaf: 1, edge: 0
[RTREE] This is node 1571 at depth: 8, the bounding box is (-34.5238,-92.6332), (18.0754,97.4107), leaf: 0, edge: 0
[RTREE] This is node 4 at depth: 10, the bounding box is (-44.2596,-75.9017), (60.7157,49.4909), leaf: 0, edge: 1
[RTREE] This is node 143 at depth: 10, the bounding box is (-39.8552,-55.354), (59.9496,23.0319), leaf: 0, edge: 1
[RTREE] This is node 1733 at depth: 10, the bounding box is (-44.8936,-60.516), (47.1087,-25.6673), leaf: 0, edge: 1
[RTREE] This is node 1869 at depth: 10, the bounding box is (-47.9327,-62.5775), (47.4996,33.4621), leaf: 0, edge: 1
[RTREE] This is node 116 at depth: 9, the bounding box is (-47.9327,-75.9017), (60.7157,49.4909), leaf: 1, edge: 0
[RTREE] This is node 1136 at depth: 10, the bounding box is (-39.629,-83.5368), (-7.19181,10.276), leaf: 0, edge: 1
[RTREE] This is node 99 at depth: 10, the bounding box is (-36.2816,-70.5277), (37.332,67.8405), leaf: 0, edge: 1
[RTREE] This is node 1520 at depth: 10, the bounding box is (-46.7133,4.78857), (-36.978,57.5185), leaf: 0, edge: 1
[RTREE] This is node 1668 at depth: 10, the bounding box is (22.6061,-81.2381), (24.6992,64.7619), leaf: 0, edge: 1
[RTREE] This is node 1438 at depth: 9, the bounding box is (-46.7133,-83.5368), (37.332,67.8405), leaf: 1, edge: 0
[RTREE] This is node 1411 at depth: 10, the bounding box is (17.8097,29.8665), (27.4547,35.3456), leaf: 0, edge: 1
[RTREE] This is node 1670 at depth: 9, the bounding box is (17.8097,29.8665), (27.4547,35.3456), leaf: 1, edge: 0
[RTREE] This is node 1669 at depth: 10, the bounding box is (2.0725,-71.6832), (37.3575,-55.269), leaf: 0, edge: 1
[RTREE] This is node 1413 at depth: 10, the bounding box is (2.72612,-60.3226), (48.7111,-46.3977), leaf: 0, edge: 1
[RTREE] This is node 1682 at depth: 9, the bounding box is (2.0725,-71.6832), (48.7111,-46.3977), leaf: 1, edge: 0
[RTREE] This is node 1681 at depth: 10, the bounding box is (-13.6463,-8.75295), (53.8895,65.4343), leaf: 0, edge: 1
[RTREE] This is node 1564 at depth: 10, the bounding box is (-10.9044,-3.35785), (55.8419,60.5248), leaf: 0, edge: 1
[RTREE] This is node 1870 at depth: 9, the bounding box is (-13.6463,-8.75295), (55.8419,65.4343), leaf: 1, edge: 0
[RTREE] This is node 1507 at depth: 8, the bounding box is (-47.9327,-83.5368), (60.7157,67.8405), leaf: 0, edge: 0
[RTREE] This is node 1735 at depth: 10, the bounding box is (-45.3151,-75.1601), (-28.3214,95.9509), leaf: 0, edge: 1
[RTREE] This is node 1405 at depth: 10, the bounding box is (-39.2867,-59.2202), (61.7101,74.8102), leaf: 0, edge: 1
[RTREE] This is node 1419 at depth: 10, the bounding box is (-30.3074,-83.5444), (55.7422,69.9958), leaf: 0, edge: 1
[RTREE] This is node 1882 at depth: 10, the bounding box is (-14.4321,-29.099), (57.9518,85.4279), leaf: 0, edge: 1
[RTREE] This is node 1906 at depth: 10, the bounding box is (24.1446,1.21715), (45.1792,71.692), leaf: 0, edge: 1
[RTREE] This is node 1414 at depth: 9, the bounding box is (-45.3151,-83.5444), (61.7101,95.9509), leaf: 1, edge: 0
[RTREE] This is node 1534 at depth: 10, the bounding box is (20.2216,-49.3632), (55.1483,72.6263), leaf: 0, edge: 1
[RTREE] This is node 1480 at depth: 10, the bounding box is (-27.5597,-97.5002), (60.5281,37.0169), leaf: 0, edge: 1
[RTREE] This is node 1679 at depth: 10, the bounding box is (16.1053,-93.6286), (29.6506,-26.9757), leaf: 0, edge: 1
[RTREE] This is node 1552 at depth: 9, the bounding box is (-27.5597,-97.5002), (60.5281,72.6263), leaf: 1, edge: 0
[RTREE] This is node 1437 at depth: 10, the bounding box is (0.721465,7.819), (44.8069,96.7799), leaf: 0, edge: 1
[RTREE] This is node 1459 at depth: 10, the bounding box is (-38.3048,0.315588), (23.4264,92.1332), leaf: 0, edge: 1
[RTREE] This is node 1531 at depth: 10, the bounding box is (18.2507,20.9167), (47.7889,84.942), leaf: 0, edge: 1
[RTREE] This is node 1460 at depth: 9, the bounding box is (-38.3048,0.315588), (47.7889,96.7799), leaf: 1, edge: 0
[RTREE] This is node 1469 at depth: 10, the bounding box is (-35.4234,-5.09243), (43.7741,73.5446), leaf: 0, edge: 1
[RTREE] This is node 1505 at depth: 10, the bounding box is (-24.2978,31.7574), (44.6695,53.6131), leaf: 0, edge: 1
[RTREE] This is node 1527 at depth: 9, the bounding box is (-35.4234,-5.09243), (44.6695,73.5446), leaf: 1, edge: 0
[RTREE] This is node 1526 at depth: 10, the bounding box is (46.1111,-20.6514), (54.4372,51.5079), leaf: 0, edge: 1
[RTREE] This is node 1551 at depth: 10, the bounding box is (-26.6115,26.7609), (29.688,53.3994), leaf: 0, edge: 1
[RTREE] This is node 1883 at depth: 9, the bounding box is (-26.6115,-20.6514), (54.4372,53.3994), leaf: 1, edge: 0
[RTREE] This is node 28 at depth: 8, the bounding box is (-45.3151,-97.5002), (61.7101,96.7799), leaf: 0, edge: 0
[RTREE] This is node 1453 at depth: 10, the bounding box is (-12.7307,-66.8521), (11.4976,40.875), leaf: 0, edge: 1
[RTREE] This is node 1466 at depth: 10, the bounding box is (-16.4737,-84.2414), (18.6349,35.0196), leaf: 0, edge: 1
[RTREE] This is node 1477 at depth: 9, the bounding box is (-16.4737,-84.2414), (18.6349,40.875), leaf: 1, edge: 0
[RTREE] This is node 58 at depth: 10, the bounding box is (-14.324,-95.2617), (39.5146,-85.2859), leaf: 0, edge: 1
[RTREE] This is node 13 at depth: 10, the bounding box is (-19.549,-95.9384), (53.5841,14.9712), leaf: 0, edge: 1
[RTREE] This is node 1449 at depth: 10, the bounding box is (12.4624,-86.9036), (44.3573,-23.6965), leaf: 0, edge: 1
[RTREE] This is node 1456 at depth: 10, the bounding box is (-2.87625,-42.8746), (48.3857,-32.5071), leaf: 0, edge: 1
[RTREE] This is node 86 at depth: 9, the bounding box is (-19.549,-95.9384), (53.5841,14.9712), leaf: 1, edge: 0
[RTREE] This is node 1479 at depth: 10, the bounding box is (29.6157,-59.4717), (41.1035,43.616), leaf: 0, edge: 1
[RTREE] This is node 1450 at depth: 10, the bounding box is (2.96785,-50.2407), (60.3572,57.0455), leaf: 0, edge: 1
[RTREE] This is node 1458 at depth: 10, the bounding box is (8.96806,-88.0641), (39.9584,66.3809), leaf: 0, edge: 1
[RTREE] This is node 1481 at depth: 10, the bounding box is (-2.59268,4.30216), (10.5615,58.6958), leaf: 0, edge: 1
[RTREE] This is node 404 at depth: 9, the bounding box is (-2.59268,-88.0641), (60.3572,66.3809), leaf: 1, edge: 0
[RTREE] This is node 1446 at depth: 10, the bounding box is (34.1721,70.9428), (45.8786,89.816), leaf: 0, edge: 1
[RTREE] This is node 286 at depth: 10, the bounding box is (19.0986,-96.5924), (64.1952,96.8767), leaf: 0, edge: 1
[RTREE] This is node 1454 at depth: 9, the bounding box is (19.0986,-96.5924), (64.1952,96.8767), leaf: 1, edge: 0
[RTREE] This is node 1476 at depth: 10, the bounding box is (-5.97181,22.2571), (9.47471,77.3294), leaf: 0, edge: 1
[RTREE] This is node 109 at depth: 10, the bounding box is (-2.07549,-28.6418), (32.8212,97.2084), leaf: 0, edge: 1
[RTREE] This is node 1502 at depth: 10, the bounding box is (-6.42966,-58.8442), (13.0661,96.3239), leaf: 0, edge: 1
[RTREE] This is node 1482 at depth: 9, the bounding box is (-6.42966,-58.8442), (32.8212,97.2084), leaf: 1, edge: 0
[RTREE] This is node 1138 at depth: 8, the bounding box is (-19.549,-96.5924), (64.1952,97.2084), leaf: 0, edge: 0
[RTREE] This is node 403 at depth: 10, the bounding box is (-41.3959,-47.5618), (-1.41351,71.8202), leaf: 0, edge: 1
[RTREE] This is node 412 at depth: 10, the bounding box is (-37.5886,-4.51095), (-19.0638,90.1295), leaf: 0, edge: 1
[RTREE] This is node 1409 at depth: 10, the bounding box is (-41.3337,-34.2558), (-14.5125,11.5485), leaf: 0, edge: 1
[RTREE] This is node 1137 at depth: 9, the bounding box is (-41.3959,-47.5618), (-1.41351,90.1295), leaf: 1, edge: 0
[RTREE] This is node 1439 at depth: 8, the bounding box is (-41.3959,-47.5618), (-1.41351,90.1295), leaf: 0, edge: 0
[RTREE] This is node 385 at depth: 7, the bounding box is (-47.9327,-97.5002), (64.1952,97.4107), leaf: 0, edge: 0
[RTREE] This is node 77 at depth: 10, the bounding box is (-44.0875,-50.3493), (-36.1203,-6.14564), leaf: 0, edge: 1
[RTREE] This is node 1412 at depth: 9, the bounding box is (-44.0875,-50.3493), (-36.1203,-6.14564), leaf: 1, edge: 0
[RTREE] This is node 1415 at depth: 8, the bounding box is (-44.0875,-50.3493), (-36.1203,-6.14564), leaf: 0, edge: 0
[RTREE] This is node 6 at depth: 10, the bounding box is (-30.4458,-97.6665), (-29.7636,-13.5835), leaf: 0, edge: 1
[RTREE] This is node 2 at depth: 10, the bounding box is (8.61282,-58.6068), (12.4141,16.505), leaf: 0, edge: 1
[RTREE] This is node 66 at depth: 10, the bounding box is (-20.8862,-59.7305), (1.49229,-1.67792), leaf: 0, edge: 1
[RTREE] This is node 10 at depth: 9, the bounding box is (-30.4458,-97.6665), (12.4141,16.505), leaf: 1, edge: 0
[RTREE] This is node 115 at depth: 10, the bounding box is (-47.0978,-4.57954), (58.1813,31.6499), leaf: 0, edge: 1
[RTREE] This is node 98 at depth: 10, the bounding box is (-30.025,-70.4167), (38.537,25.3845), leaf: 0, edge: 1
[RTREE] This is node 392 at depth: 9, the bounding box is (-47.0978,-70.4167), (58.1813,31.6499), leaf: 1, edge: 0
[RTREE] This is node 405 at depth: 8, the bounding box is (-47.0978,-97.6665), (58.1813,31.6499), leaf: 0, edge: 0
[RTREE] This is node 1462 at depth: 7, the bounding box is (-47.0978,-97.6665), (58.1813,31.6499), leaf: 0, edge: 0
[RTREE] This is node 391 at depth: 10, the bounding box is (13.2161,-65.519), (27.791,98.4544), leaf: 0, edge: 1
[RTREE] This is node 904 at depth: 9, the bounding box is (13.2161,-65.519), (27.791,98.4544), leaf: 1, edge: 0
[RTREE] This is node 1461 at depth: 8, the bounding box is (13.2161,-65.519), (27.791,98.4544), leaf: 0, edge: 0
[RTREE] This is node 1508 at depth: 7, the bounding box is (13.2161,-65.519), (27.791,98.4544), leaf: 0, edge: 0
[RTREE] This is node 1448 at depth: 10, the bounding box is (-15.7212,46.9068), (60.0017,64.8982), leaf: 0, edge: 1
[RTREE] This is node 1467 at depth: 9, the bounding box is (-15.7212,46.9068), (60.0017,64.8982), leaf: 1, edge: 0
[RTREE] This is node 1483 at depth: 8, the bounding box is (-15.7212,46.9068), (60.0017,64.8982), leaf: 0, edge: 0
[RTREE] This is node 1554 at depth: 7, the bounding box is (-15.7212,46.9068), (60.0017,64.8982), leaf: 0, edge: 0
[RTREE] This is node 1404 at depth: 10, the bounding box is (-32.7303,-69.9848), (-9.03375,2.13994), leaf: 0, edge: 1
[RTREE] This is node 1506 at depth: 9, the bounding box is (-32.7303,-69.9848), (-9.03375,2.13994), leaf: 1, edge: 0
[RTREE] This is node 1553 at depth: 8, the bounding box is (-32.7303,-69.9848), (-9.03375,2.13994), leaf: 0, edge: 0
[RTREE] This is node 1572 at depth: 7, the bounding box is (-32.7303,-69.9848), (-9.03375,2.13994), leaf: 0, edge: 0
[RTREE] This is node 1441 at depth: 6, the bounding box is (-47.9327,-97.6665), (64.1952,98.4544), leaf: 0, edge: 0
[RTREE] This is node 103 at depth: 10, the bounding box is (3.08139,-94.5938), (37.2392,-92.0378), leaf: 0, edge: 1
[RTREE] This is node 32 at depth: 10, the bounding box is (5.86658,-94.0094), (31.0263,50.1887), leaf: 0, edge: 1
[RTREE] This is node 107 at depth: 9, the bounding box is (3.08139,-94.5938), (37.2392,50.1887), leaf: 1, edge: 0
[RTREE] This is node 104 at depth: 10, the bounding box is (-14.3285,-84.4126), (34.5978,-8.26548), leaf: 0, edge: 1
[RTREE] This is node 119 at depth: 10, the bounding box is (3.38269,-77.2723), (37.0562,55.9836), leaf: 0, edge: 1
[RTREE] This is node 194 at depth: 10, the bounding box is (-1.21154,-67.4728), (7.05668,-18.8205), leaf: 0, edge: 1
[RTREE] This is node 120 at depth: 9, the bounding box is (-14.3285,-84.4126), (37.0562,55.9836), leaf: 1, edge: 0
[RTREE] This is node 398 at depth: 8, the bounding box is (-14.3285,-94.5938), (37.2392,55.9836), leaf: 0, edge: 0
[RTREE] This is node 752 at depth: 7, the bounding box is (-14.3285,-94.5938), (37.2392,55.9836), leaf: 0, edge: 0
[RTREE] This is node 205 at depth: 10, the bounding box is (-18.0099,-64.1808), (5.38227,80.7786), leaf: 0, edge: 1
[RTREE] This is node 1099 at depth: 9, the bounding box is (-18.0099,-64.1808), (5.38227,80.7786), leaf: 1, edge: 0
[RTREE] This is node 1146 at depth: 8, the bounding box is (-18.0099,-64.1808), (5.38227,80.7786), leaf: 0, edge: 0
[RTREE] This is node 1393 at depth: 7, the bounding box is (-18.0099,-64.1808), (5.38227,80.7786), leaf: 0, edge: 0
[RTREE] This is node 1417 at depth: 6, the bounding box is (-18.0099,-94.5938), (37.2392,80.7786), leaf: 0, edge: 0
[RTREE] This is node 1574 at depth: 5, the bounding box is (-47.9327,-97.6665), (64.1952,98.4544), leaf: 0, edge: 0
[RTREE] This is node 1692 at depth: 4, the bounding box is (-47.9327,-97.6665), (64.1952,98.4544), leaf: 0, edge: 0
[RTREE] This is node 1382 at depth: 10, the bounding box is (-14.2091,-73.3746), (-12.3312,9.31969), leaf: 0, edge: 1
[RTREE] This is node 1391 at depth: 9, the bounding box is (-14.2091,-73.3746), (-12.3312,9.31969), leaf: 1, edge: 0
[RTREE] This is node 1885 at depth: 10, the bounding box is (-2.0694,-59.1476), (72.4468,-45.9825), leaf: 0, edge: 1
[RTREE] This is node 1150 at depth: 10, the bounding box is (-44.6917,-57.0827), (89.3485,22.3715), leaf: 0, edge: 1
[RTREE] This is node 1627 at depth: 10, the bounding box is (-40.6082,-45.0888), (-6.5566,-9.76591), leaf: 0, edge: 1
[RTREE] This is node 1707 at depth: 10, the bounding box is (60.5525,-50.5781), (69.7478,-4.52558), leaf: 0, edge: 1
[RTREE] This is node 1372 at depth: 9, the bounding box is (-44.6917,-59.1476), (89.3485,22.3715), leaf: 1, edge: 0
[RTREE] This is node 1371 at depth: 10, the bounding box is (-34.0841,-4.11575), (-9.77176,-3.10277), leaf: 0, edge: 1
[RTREE] This is node 1408 at depth: 10, the bounding box is (-28.0995,-21.7862), (65.0268,-17.6383), leaf: 0, edge: 1
[RTREE] This is node 1886 at depth: 9, the bounding box is (-34.0841,-21.7862), (65.0268,-3.10277), leaf: 1, edge: 0
[RTREE] This is node 1424 at depth: 8, the bounding box is (-44.6917,-73.3746), (89.3485,22.3715), leaf: 0, edge: 0
[RTREE] This is node 1375 at depth: 10, the bounding box is (50.0447,-33.0727), (82.581,-26.3792), leaf: 0, edge: 1
[RTREE] This is node 1387 at depth: 10, the bounding box is (49.8445,-27.8783), (75.9924,-0.110784), leaf: 0, edge: 1
[RTREE] This is node 1471 at depth: 9, the bounding box is (49.8445,-33.0727), (82.581,-0.110784), leaf: 1, edge: 0
[RTREE] This is node 1537 at depth: 8, the bounding box is (49.8445,-33.0727), (82.581,-0.110784), leaf: 0, edge: 0
[RTREE] This is node 1538 at depth: 7, the bounding box is (-44.6917,-73.3746), (89.3485,22.3715), leaf: 0, edge: 0
[RTREE] This is node 1690 at depth: 6, the bounding box is (-44.6917,-73.3746), (89.3485,22.3715), leaf: 0, edge: 0
[RTREE] This is node 1746 at depth: 5, the bounding box is (-44.6917,-73.3746), (89.3485,22.3715), leaf: 0, edge: 0
[RTREE] This is node 1706 at depth: 10, the bounding box is (11.563,44.7075), (37.528,82.6027), leaf: 0, edge: 1
[RTREE] This is node 1704 at depth: 10, the bounding box is (-11.1374,56.3953), (22.8133,62.3649), leaf: 0, edge: 1
[RTREE] This is node 1724 at depth: 10, the bounding box is (-7.62474,-8.0159), (8.58414,58.6752), leaf: 0, edge: 1
[RTREE] This is node 1725 at depth: 10, the bounding box is (-6.62816,-9.00557), (1.2128,37.4579), leaf: 0, edge: 1
